****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
        40     2.178     0.164     0.133     0.076   -10.848
        41     2.221     0.167     0.138     0.078   -10.843
        42     2.265     0.171     0.142     0.081   -10.837
        43     2.310     0.174     0.148     0.084   -10.831
        44     2.355     0.177     0.153     0.087   -10.826
        45     2.402     0.181     0.158     0.090   -10.820
        46     2.450     0.184     0.163     0.093   -10.814
        47     2.498     0.188     0.169     0.096   -10.808
        48     2.548     0.192     0.174     0.099   -10.801
        49     2.598     0.195     0.180     0.102   -10.795
        50     2.650     0.199     0.185     0.105   -10.789
        51     2.702     0.203     0.191     0.109   -10.782
        52     2.756     0.207     0.197     0.112   -10.775
        53     2.810     0.211     0.203     0.115   -10.768
        54     2.866     0.215     0.209     0.119   -10.761
        55     2.923     0.220     0.216     0.122   -10.754
        56     2.981     0.224     0.222     0.126   -10.747
        57     3.040     0.228     0.229     0.129   -10.740
        58     3.100     0.233     0.235     0.133   -10.732
        59     3.162     0.237     0.242     0.137   -10.725
        60     3.225     0.242     0.249     0.141   -10.717
        61     3.289     0.247     0.256     0.145   -10.709
        62     3.354     0.251     0.263     0.148   -10.701
        63     3.421     0.256     0.271     0.153   -10.693
        64     3.489     0.261     0.278     0.157   -10.684
        65     3.558     0.266     0.286     0.161   -10.676
        66     3.629     0.272     0.294     0.165   -10.667
        67     3.701     0.277     0.302     0.169   -10.658
        68     3.774     0.282     0.310     0.174   -10.649
        69     3.849     0.288     0.318     0.178   -10.640
        70     3.926     0.293     0.326     0.183   -10.631
        71     4.004     0.299     0.335     0.187   -10.621
        72     4.083     0.305     0.343     0.192   -10.612
        73     4.164     0.311     0.352     0.197   -10.602
        74     4.247     0.317     0.361     0.202   -10.592
        75     4.332     0.323     0.370     0.207   -10.582
        76     4.418     0.329     0.380     0.212   -10.571
        77     4.506     0.335     0.389     0.217   -10.561
        78     4.595     0.342     0.399     0.222   -10.550
        79     4.687     0.349     0.409     0.227   -10.539
        80     4.780     0.355     0.419     0.233   -10.528
        81     4.875     0.362     0.429     0.238   -10.517
        82     4.972     0.369     0.440     0.244   -10.505
        83     5.071     0.376     0.450     0.249   -10.493
        84     5.172     0.383     0.461     0.255   -10.481
        85     5.275     0.391     0.472     0.261   -10.469
        86     5.380     0.398     0.483     0.267   -10.457
        87     5.487     0.406     0.495     0.273   -10.444
        88     5.597     0.414     0.506     0.279   -10.431
        89     5.708     0.422     0.518     0.285   -10.418
        90     5.822     0.430     0.530     0.292   -10.405
        91     5.938     0.438     0.542     0.298   -10.392
        92     6.056     0.446     0.555     0.305   -10.378
        93     6.177     0.455     0.567     0.311   -10.364
        94     6.300     0.463     0.580     0.318   -10.350
        95     6.425     0.472     0.594     0.325   -10.335
        96     6.553     0.481     0.607     0.332   -10.320
        97     6.684     0.490     0.620     0.339   -10.305
        98     6.817     0.499     0.634     0.346   -10.290
        99     6.953     0.509     0.648     0.353   -10.275
       100     7.092     0.518     0.663     0.360   -10.259
       101     7.233     0.528     0.677     0.368   -10.243
       102     7.377     0.538     0.692     0.375   -10.226
       103     7.524     0.548     0.707     0.383   -10.210
       104     7.674     0.558     0.723     0.391   -10.193
       105     7.827     0.569     0.738     0.399   -10.176
       106     7.983     0.579     0.754     0.407   -10.158
       107     8.143     0.590     0.770     0.415   -10.140
       108     8.305     0.601     0.787     0.423   -10.122
       109     8.471     0.612     0.803     0.432   -10.104
       110     8.640     0.624     0.820     0.440   -10.085
       111     8.812     0.635     0.838     0.449   -10.066
       112     8.988     0.647     0.855     0.457   -10.047
       113     9.167     0.659     0.873     0.466   -10.027
       114     9.350     0.671     0.891     0.475   -10.007
       115     9.536     0.683     0.910     0.484    -9.987
       116     9.727     0.696     0.928     0.493    -9.966
       117     9.921     0.708     0.948     0.502    -9.945
       118    10.119     0.721     0.967     0.512    -9.923
       119    10.321     0.734     0.987     0.521    -9.902
       120    10.527     0.747     1.007     0.531    -9.879
       121    10.737     0.761     1.027     0.541    -9.857
       122    10.951     0.775     1.047     0.550    -9.834
       123    11.169     0.789     1.068     0.560    -9.811
       124    11.392     0.803     1.090     0.571    -9.787
       125    11.620     0.817     1.111     0.581    -9.763
       126    11.852     0.832     1.133     0.591    -9.738
       127    12.088     0.846     1.156     0.601    -9.713
       128    12.330     0.861     1.178     0.612    -9.688
       129    12.576     0.877     1.201     0.623    -9.662
       130    12.827     0.892     1.225     0.633    -9.636
       131    13.083     0.908     1.248     0.644    -9.609
       132    13.344     0.923     1.272     0.655    -9.582
       133    13.610     0.940     1.297     0.666    -9.555
       134    13.882     0.956     1.321     0.678    -9.527
       135    14.159     0.972     1.346     0.689    -9.499
       136    14.442     0.989     1.372     0.700    -9.470
       137    14.730     1.006     1.397     0.712    -9.441
       138    15.025     1.024     1.423     0.723    -9.411
       139    15.325     1.041     1.450     0.735    -9.381
       140    15.631     1.059     1.476     0.747    -9.351
       141    15.943     1.077     1.503     0.758    -9.320
       142    16.261     1.095     1.530     0.770    -9.289
       143    16.586     1.114     1.558     0.782    -9.257
       144    16.917     1.132     1.586     0.794    -9.225
       145    17.255     1.151     1.614     0.806    -9.192
       146    17.600     1.170     1.642     0.818    -9.160
       147    17.951     1.190     1.671     0.830    -9.126
       148    18.310     1.210     1.700     0.843    -9.092
       149    18.676     1.230     1.729     0.855    -9.058
       150    19.049     1.250     1.758     0.867    -9.024
       151    19.429     1.270     1.788     0.880    -8.989
       152    19.817     1.291     1.818     0.892    -8.953
       153    20.213     1.312     1.849     0.904    -8.917
       154    20.617     1.334     1.879     0.917    -8.881
       155    21.029     1.355     1.910     0.929    -8.844
       156    21.449     1.377     1.942     0.942    -8.807
       157    21.877     1.399     1.973     0.954    -8.769
       158    22.315     1.422     2.005     0.967    -8.731
       159    22.760     1.444     2.037     0.979    -8.693
       160    23.215     1.467     2.069     0.992    -8.654
       161    23.679     1.490     2.102     1.005    -8.615
       162    24.152     1.514     2.135     1.017    -8.575
       163    24.635     1.538     2.168     1.030    -8.535
       164    25.127     1.562     2.201     1.042    -8.494
       165    25.629     1.586     2.235     1.055    -8.453
       166    26.141     1.611     2.269     1.068    -8.411
       167    26.663     1.636     2.303     1.080    -8.369
       168    27.196     1.661     2.337     1.093    -8.327
       169    27.740     1.687     2.372     1.106    -8.284
       170    28.294     1.713     2.407     1.118    -8.241
       171    28.859     1.739     2.442     1.131    -8.197
       172    29.436     1.765     2.478     1.144    -8.153
       173    30.024     1.792     2.513     1.156    -8.108
       174    30.624     1.819     2.549     1.169    -8.063
       175    31.236     1.847     2.586     1.181    -8.017
       176    31.861     1.874     2.622     1.194    -7.971
       177    32.497     1.902     2.659     1.206    -7.925
       178    33.147     1.931     2.696     1.219    -7.878
       179    33.809     1.959     2.733     1.231    -7.830
       180    34.485     1.988     2.771     1.244    -7.782
       181    35.174     2.018     2.809     1.256    -7.734
       182    35.877     2.048     2.847     1.269    -7.685
       183    36.594     2.078     2.885     1.281    -7.636
       184    37.326     2.108     2.924     1.294    -7.586
       185    38.072     2.139     2.963     1.306    -7.536
       186    38.833     2.170     3.002     1.318    -7.485
       187    39.609     2.201     3.042     1.330    -7.434
       188    40.401     2.233     3.082     1.343    -7.383
       189    41.208     2.265     3.122     1.355    -7.330
       190    42.032     2.298     3.162     1.367    -7.278
       191    42.872     2.331     3.203     1.379    -7.225
       192    43.729     2.364     3.244     1.391    -7.171
       193    44.603     2.398     3.285     1.403    -7.117
       194    45.495     2.432     3.327     1.415    -7.063
       195    46.404     2.466     3.369     1.427    -7.008
       196    47.332     2.501     3.411     1.439    -6.953
       197    48.278     2.536     3.453     1.451    -6.897
       198    49.243     2.572     3.496     1.462    -6.840
       199    50.228     2.607     3.539     1.474    -6.783
       200    51.232     2.644     3.583     1.486    -6.726
       201    52.256     2.681     3.626     1.498    -6.668
       202    53.301     2.718     3.670     1.509    -6.610
       203    54.366     2.755     3.715     1.521    -6.551
       204    55.453     2.794     3.759     1.532    -6.492
       205    56.562     2.832     3.805     1.544    -6.432
       206    57.692     2.871     3.850     1.555    -6.372
       207    58.846     2.910     3.896     1.566    -6.311
       208    60.022     2.950     3.942     1.578    -6.250
       209    61.222     2.990     3.988     1.589    -6.188
       210    62.446     3.031     4.035     1.600    -6.126
       211    63.695     3.072     4.082     1.611    -6.063
       212    64.968     3.114     4.130     1.622    -6.000
       213    66.267     3.156     4.178     1.633    -5.936
       214    67.592     3.198     4.226     1.644    -5.872
       215    68.943     3.241     4.275     1.655    -5.807
       216    70.322     3.285     4.324     1.666    -5.742
       217    71.728     3.329     4.374     1.676    -5.676
       218    73.162     3.373     4.423     1.687    -5.610
       219    74.625     3.418     4.474     1.698    -5.543
       220    76.117     3.463     4.525     1.708    -5.475
       221    77.638     3.509     4.576     1.719    -5.408
       222    79.191     3.556     4.627     1.729    -5.339
       223    80.774     3.603     4.679     1.740    -5.271
       224    82.389     3.650     4.732     1.750    -5.201
       225    84.036     3.698     4.785     1.760    -5.132
       226    85.717     3.747     4.838     1.770    -5.061
       227    87.431     3.796     4.892     1.781    -4.990
       228    89.179     3.846     4.947     1.791    -4.919
       229    90.962     3.896     5.001     1.801    -4.847
       230    92.781     3.947     5.057     1.811    -4.775
       231    94.636     3.998     5.113     1.821    -4.702
       232    96.528     4.050     5.169     1.830    -4.629
       233    98.458     4.102     5.226     1.840    -4.555
       234   100.427     4.155     5.283     1.850    -4.480
       235   102.435     4.209     5.341     1.860    -4.406
       236   104.483     4.263     5.399     1.869    -4.330
       237   106.572     4.318     5.458     1.879    -4.254
       238   108.703     4.373     5.518     1.888    -4.178
       239   110.877     4.429     5.578     1.898    -4.101
       240   113.094     4.486     5.639     1.907    -4.024
       241   115.355     4.543     5.700     1.916    -3.946
       242   117.662     4.601     5.762     1.925    -3.867
       243   120.015     4.660     5.824     1.934    -3.789
       244   122.415     4.720     5.886     1.943    -3.710
       245   124.863     4.784     5.949     1.952    -3.632
       246   127.360     4.850     6.012     1.961    -3.555
       247   129.907     4.920     6.074     1.970    -3.479
       248   132.505     4.993     6.137     1.978    -3.404
       249   135.155     5.069     6.199     1.986    -3.330
       250   137.648     5.144     6.256     1.994    -3.263
---------------------------- Plume traps -----------------------------
       251   139.931     5.216     6.307     2.000    -3.205
       252   142.017     5.283     6.352     2.006    -3.154
       253   143.952     5.346     6.393     2.011    -3.108
       254   145.770     5.405     6.431     2.016    -3.067
       255   147.499     5.462     6.466     2.020    -3.029
       256   149.157     5.517     6.500     2.024    -2.993
       257   150.757     5.571     6.532     2.028    -2.960
------------------------- merging happened ---------------------------
       258   152.306     5.623     6.562     2.031    -2.928
       259   153.668     5.672     6.591     2.035    -2.899
       260   155.017     5.722     6.621     2.038    -2.869
       261   156.331     5.774     6.651     2.042    -2.839
       262   157.626     5.828     6.680     2.045    -2.811
       263   158.845     5.881     6.708     2.048    -2.784
       264   160.015     5.935     6.736     2.051    -2.758
       265   161.123     5.987     6.763     2.055    -2.732
       266   162.186     6.039     6.790     2.058    -2.707
       267   163.197     6.091     6.816     2.060    -2.683
       268   164.164     6.142     6.843     2.063    -2.659
       269   165.084     6.193     6.869     2.066    -2.637
       270   165.961     6.243     6.894     2.069    -2.614
       271   166.796     6.292     6.920     2.072    -2.593
       272   167.592     6.340     6.945     2.074    -2.571
       273   168.349     6.388     6.969     2.077    -2.551
       274   169.069     6.435     6.993     2.080    -2.531
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512
       276   170.407     6.527     7.041     2.085    -2.493
       277   171.027     6.572     7.064     2.087    -2.475
       278   171.618     6.616     7.087     2.090    -2.457
       279   172.180     6.660     7.109     2.092    -2.440
       280   172.716     6.702     7.131     2.094    -2.423
       281   173.226     6.744     7.153     2.097    -2.407
       282   173.712     6.786     7.174     2.099    -2.392
       283   174.175     6.826     7.195     2.101    -2.377
       284   174.617     6.866     7.216     2.103    -2.362
       285   175.038     6.906     7.237     2.105    -2.348
       286   175.441     6.945     7.257     2.107    -2.334
       287   175.825     6.983     7.276     2.109    -2.320
       288   176.192     7.020     7.296     2.111    -2.307
       289   176.542     7.057     7.315     2.113    -2.295
       290   176.878     7.094     7.334     2.115    -2.282
       291   177.199     7.129     7.353     2.117    -2.271
       292   177.506     7.165     7.371     2.119    -2.259
       293   177.800     7.199     7.389     2.121    -2.248
       294   178.082     7.233     7.407     2.123    -2.237
       295   178.352     7.267     7.425     2.124    -2.226
       296   178.611     7.300     7.443     2.126    -2.216
       297   178.860     7.332     7.460     2.128    -2.206
       298   179.099     7.364     7.477     2.130    -2.197
       299   179.328     7.396     7.493     2.131    -2.187
       300   179.548     7.427     7.510     2.133    -2.178
       301   179.760     7.457     7.526     2.135    -2.169
       302   179.964     7.487     7.543     2.136    -2.161
       303   180.160     7.517     7.559     2.138    -2.152
       304   180.349     7.546     7.574     2.140    -2.144
       305   180.530     7.575     7.590     2.141    -2.136
       306   180.705     7.603     7.605     2.143    -2.129
       307   180.874     7.631     7.621     2.144    -2.121
       308   181.036     7.658     7.636     2.146    -2.114
       309   181.193     7.685     7.651     2.147    -2.107
       310   181.344     7.711     7.665     2.149    -2.100
       311   181.489     7.737     7.680     2.150    -2.094
       312   181.630     7.762     7.694     2.152    -2.087
       313   181.765     7.787     7.709     2.153    -2.081
       314   181.896     7.812     7.723     2.154    -2.075
       315   182.023     7.836     7.737     2.156    -2.069
       316   182.145     7.860     7.751     2.157    -2.063
       317   182.262     7.883     7.765     2.159    -2.058
       318   182.376     7.906     7.778     2.160    -2.053
       319   182.486     7.928     7.792     2.161    -2.047
       320   182.592     7.950     7.805     2.163    -2.042
       321   182.695     7.972     7.819     2.164    -2.037
       322   182.794     7.993     7.832     2.165    -2.033
       323   182.890     8.014     7.845     2.166    -2.028
       324   182.982     8.034     7.858     2.168    -2.023
       325   183.072     8.054     7.871     2.169    -2.019
       326   183.158     8.073     7.884     2.170    -2.015
       327   183.242     8.092     7.897     2.172    -2.011
       328   183.322     8.111     7.909     2.173    -2.007
       329   183.400     8.129     7.922     2.174    -2.003
       330   183.475     8.147     7.935     2.175    -1.999
       331   183.548     8.164     7.947     2.177    -1.996
       332   183.618     8.181     7.959     2.178    -1.992
       333   183.686     8.198     7.972     2.179    -1.989
       334   183.751     8.214     7.984     2.180    -1.985
       335   183.815     8.230     7.996     2.181    -1.982
       336   183.876     8.245     8.008     2.183    -1.979
       337   183.935     8.260     8.020     2.184    -1.976
       338   183.992     8.274     8.032     2.185    -1.973
       339   184.047     8.288     8.044     2.186    -1.971
       340   184.100     8.302     8.056     2.187    -1.968
       341   184.151     8.315     8.068     2.188    -1.965
       342   184.201     8.328     8.080     2.190    -1.963
       343   184.248     8.341     8.092     2.191    -1.961
       344   184.294     8.353     8.103     2.192    -1.958
       345   184.337     8.364     8.115     2.193    -1.956
       346   184.379     8.376     8.127     2.194    -1.954
       347   184.420     8.386     8.138     2.195    -1.952
       348   184.458     8.397     8.150     2.196    -1.950
       349   184.495     8.407     8.162     2.198    -1.948
       350   184.531     8.416     8.173     2.199    -1.947
       351   184.564     8.426     8.185     2.200    -1.945
       352   184.597     8.434     8.196     2.201    -1.943
       353   184.627     8.443     8.208     2.202    -1.942
       354   184.656     8.451     8.219     2.203    -1.941
       355   184.684     8.458     8.231     2.204    -1.939
       356   184.710     8.466     8.242     2.205    -1.938
       357   184.734     8.472     8.254     2.207    -1.937
       358   184.757     8.479     8.265     2.208    -1.936
       359   184.779     8.485     8.276     2.209    -1.935
       360   184.799     8.490     8.288     2.210    -1.934
       361   184.817     8.495     8.299     2.211    -1.933
       362   184.834     8.500     8.310     2.212    -1.932
       363   184.850     8.504     8.322     2.213    -1.932
       364   184.865     8.508     8.333     2.214    -1.931
       365   184.878     8.512     8.344     2.215    -1.931
       366   184.889     8.515     8.355     2.217    -1.930
       367   184.899     8.517     8.367     2.218    -1.930
       368   184.908     8.520     8.378     2.219    -1.930
       369   184.915     8.522     8.389     2.220    -1.930
       370   184.921     8.523     8.401     2.221    -1.930
       371   184.926     8.524     8.412     2.222    -1.930
---------------------- Local maximum rise or fall --------------------
       372   184.929     8.525     8.423     2.223    -1.930
       373   184.932     8.525     8.434     2.224    -1.930
       374   184.934     8.525     8.446     2.225    -1.930
       375   184.935     8.524     8.457     2.226    -1.930
       376   184.937     8.523     8.468     2.228    -1.931
       377   184.940     8.522     8.479     2.229    -1.931
       378   184.942     8.521     8.491     2.230    -1.932
       379   184.945     8.519     8.502     2.231    -1.932
       380   184.949     8.516     8.513     2.232    -1.933
       381   184.953     8.514     8.525     2.233    -1.934
       382   184.957     8.511     8.536     2.234    -1.935
       383   184.961     8.508     8.547     2.235    -1.936
       384   184.966     8.504     8.559     2.236    -1.937
       385   184.972     8.500     8.570     2.238    -1.938
       386   184.977     8.496     8.581     2.239    -1.939
       387   184.984     8.491     8.593     2.240    -1.940
       388   184.990     8.486     8.604     2.241    -1.942
       389   184.997     8.481     8.616     2.242    -1.943
       390   185.005     8.475     8.627     2.243    -1.945
       391   185.012     8.469     8.639     2.244    -1.946
       392   185.021     8.463     8.650     2.245    -1.948
       393   185.029     8.457     8.662     2.247    -1.950
       394   185.038     8.450     8.673     2.248    -1.952
       395   185.048     8.442     8.685     2.249    -1.954
       396   185.058     8.435     8.697     2.250    -1.956
       397   185.069     8.427     8.708     2.251    -1.958
       398   185.080     8.419     8.720     2.252    -1.960
       399   185.092     8.410     8.732     2.253    -1.962
       400   185.104     8.401     8.744     2.255    -1.965
       401   185.117     8.392     8.756     2.256    -1.967
       402   185.130     8.382     8.768     2.257    -1.970
       403   185.144     8.373     8.780     2.258    -1.973
       404   185.159     8.362     8.792     2.259    -1.976
       405   185.174     8.352     8.804     2.260    -1.978
       406   185.190     8.341     8.816     2.262    -1.981
       407   185.207     8.330     8.828     2.263    -1.985
       408   185.224     8.319     8.840     2.264    -1.988
       409   185.242     8.307     8.853     2.265    -1.991
       410   185.261     8.295     8.865     2.266    -1.995
       411   185.281     8.283     8.878     2.268    -1.998
       412   185.302     8.270     8.890     2.269    -2.002
       413   185.323     8.257     8.903     2.270    -2.006
       414   185.345     8.244     8.916     2.271    -2.010
       415   185.369     8.230     8.928     2.273    -2.014
       416   185.393     8.216     8.941     2.274    -2.018
       417   185.418     8.202     8.954     2.275    -2.022
       418   185.445     8.188     8.967     2.276    -2.027
       419   185.473     8.173     8.981     2.278    -2.031
       420   185.502     8.158     8.994     2.279    -2.036
       421   185.533     8.143     9.007     2.280    -2.041
       422   185.564     8.128     9.021     2.282    -2.046
       423   185.598     8.112     9.035     2.283    -2.051
       424   185.633     8.096     9.049     2.284    -2.057
       425   185.669     8.080     9.063     2.286    -2.062
       426   185.708     8.063     9.077     2.287    -2.068
       427   185.748     8.046     9.091     2.288    -2.074
       428   185.790     8.029     9.106     2.290    -2.080
       429   185.835     8.012     9.120     2.291    -2.086
       430   185.881     7.995     9.135     2.293    -2.093
       431   185.930     7.977     9.150     2.294    -2.100
       432   185.981     7.959     9.166     2.296    -2.107
       433   186.035     7.941     9.181     2.297    -2.114
       434   186.092     7.923     9.197     2.299    -2.121
       435   186.152     7.904     9.213     2.300    -2.129
       436   186.216     7.885     9.229     2.302    -2.137
       437   186.282     7.866     9.245     2.303    -2.145
       438   186.353     7.847     9.262     2.305    -2.153
       439   186.427     7.828     9.279     2.307    -2.162
       440   186.506     7.809     9.296     2.308    -2.171
       441   186.589     7.789     9.313     2.310    -2.180
       442   186.678     7.769     9.331     2.312    -2.190
       443   186.772     7.750     9.349     2.313    -2.200
       444   186.872     7.730     9.368     2.315    -2.210
       445   186.978     7.710     9.387     2.317    -2.221
       446   187.091     7.690     9.406     2.319    -2.232
       447   187.213     7.670     9.426     2.321    -2.243
       448   187.342     7.650     9.446     2.323    -2.255
       449   187.481     7.630     9.466     2.325    -2.268
       450   187.630     7.610     9.487     2.327    -2.280
       451   187.790     7.590     9.509     2.329    -2.294
       452   187.963     7.570     9.531     2.331    -2.308
       453   188.150     7.550     9.554     2.333    -2.323
       454   188.352     7.531     9.578     2.335    -2.338
       455   188.573     7.512     9.602     2.338    -2.354
       456   188.814     7.493     9.627     2.340    -2.371
       457   189.078     7.474     9.653     2.343    -2.389
       458   189.369     7.457     9.681     2.345    -2.407
       459   189.692     7.439     9.709     2.348    -2.427
       460   190.051     7.423     9.738     2.351    -2.448
       461   190.454     7.408     9.769     2.354    -2.470
       462   190.911     7.394     9.802     2.357    -2.494
       463   191.435     7.382     9.836     2.360    -2.520
       464   192.043     7.372     9.873     2.364    -2.547
       465   192.761     7.365     9.913     2.367    -2.578
       466   193.583     7.361     9.956     2.371    -2.611
       467   194.489     7.359    10.003     2.376    -2.648
       468   195.489     7.360    10.055     2.380    -2.688
       469   196.619     7.365    10.112     2.386    -2.734
       470   197.947     7.374    10.176     2.392    -2.786
       471   199.567     7.392    10.251     2.398    -2.848
       472   201.641     7.422    10.343     2.407    -2.924
       473   204.504     7.472    10.465     2.417    -3.026
       474   208.594     7.556    10.633     2.432    -3.167
       475   212.766     7.662    10.800     2.446    -3.307
---------------------------- Plume traps -----------------------------
       476   217.021     7.796    10.965     2.460    -3.441
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :      97.60 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time
        ()       (m)       (m)    (hrs.)
   217.021    99.364    11.237     0.029
   217.021    99.622    12.000     0.034
   217.021    99.961    13.000     0.039
   217.021   100.300    14.000     0.045
   217.021   100.640    15.000     0.051
   217.021   100.980    16.000     0.056
   217.021   101.321    17.000     0.062
   217.021   101.661    18.000     0.068
   217.021   102.001    19.000     0.073
   217.021   102.340    20.000     0.079
   217.021   102.679    21.000     0.084
   217.021   103.018    22.000     0.090
   217.022   103.358    23.000     0.096
   217.022   103.699    24.000     0.101
   217.022   104.039    25.000     0.107
   217.022   104.380    26.000     0.112
   217.023   104.720    27.000     0.118
   217.024   105.061    28.000     0.123
   217.026   105.402    29.000     0.129
   217.028   105.744    30.000     0.135
   217.032   106.086    31.000     0.140
   217.036   106.428    32.000     0.146
   217.042   106.770    33.000     0.151
   217.049   107.113    34.000     0.157
   217.058   107.456    35.000     0.162
   217.069   107.799    36.000     0.168
   217.083   108.142    37.000     0.174
   217.099   108.486    38.000     0.179
   217.118   108.831    39.000     0.185
   217.141   109.175    40.000     0.190
   217.166   109.520    41.000     0.196
   217.196   109.865    42.000     0.201
   217.229   110.210    43.000     0.207
   217.267   110.556    44.000     0.213
   217.309   110.902    45.000     0.218
   217.357   111.248    46.000     0.224
   217.408   111.595    47.000     0.229
   217.466   111.942    48.000     0.235
   217.528   112.289    49.000     0.240
   217.596   112.637    50.000     0.246
   217.669   112.985    51.000     0.251
   217.748   113.333    52.000     0.257
   217.833   113.682    53.000     0.263
   217.924   114.030    54.000     0.268
   218.021   114.380    55.000     0.274
   218.124   114.729    56.000     0.279
   218.234   115.079    57.000     0.285
   218.349   115.429    58.000     0.290
   218.471   115.779    59.000     0.296
   218.600   116.130    60.000     0.301
   218.735   116.481    61.000     0.307
   218.876   116.832    62.000     0.313
